0,0,4,78
220,0,4,78
4,0,216,4
108,4,8,32
20,20,24,16
180,20,24,16
60,20,32,16
132,20,32,16
20,52,24,8
180,52,24,8
60,52,8,56
156,52,8,56
68,76,24,8
132,76,24,8
84,52,56,8
84,148,56,8
84,196,56,8
108,60,8,24
108,156,8,24
108,204,8,24
4,76,40,4
180,76,40,4
4,152,40,4
180,152,40,4
0,104,44,4
180,104,44,4
0,124,44,4
180,124,44,4
40,80,4,24
180,80,4,24
40,128,4,24
180,28,4,24
0,152,4,96
220,152,4,96
4,224,216,4
60,124,8,32
156,124,8,32
60,172,32,8
132,172,32,8
20,172,24,8
180,172,24,8
4,196,16,8
204,196,16,8
36,180,8,24
180,180,8,24
60,196,8,24
156,196,8,24
20,220,72,8
132,220,72,8
84,100,56,132
